"Source","Target"
"100065631","101710163"
"100065631","1025315378"
"100065631","107148161"
"100065631","1184096065"
"100065631","1196671592"
"100065631","1212365359"
"100065631","123995008"
"100065631","12677962"
"100065631","12955672"
"100065631","1312068378"
"100065631","132337419"
"100065631","1372041912"
"100065631","14608778"
"100065631","1478947549"
"100065631","15251747"
"100065631","1558166144"
"100065631","15797425"
"100065631","15934139"
"100065631","162201905"
"100065631","163488122"
"100065631","1641645858"
"100065631","16663888"
"100065631","16813249"
"100065631","175326192"
"100065631","18026782"
"100065631","182316843"
"100065631","1922862013"
"100065631","192983972"
"100065631","19471962"
"100065631","196349045"
"100065631","219947655"
"100065631","2252729601"
"100065631","227423290"
"100065631","2355545629"
"100065631","23728821"
"100065631","240473635"
"100065631","2426095200"
"100065631","2444116339"
"100065631","2470088713"
"100065631","260834401"
"100065631","2718262992"
"100065631","28207516"
"100065631","2823282046"
"100065631","2906420711"
"100065631","29145061"
"100065631","296724177"
"100065631","302613813"
"100065631","3194733001"
"100065631","3290483304"
"100065631","3305630050"
"100065631","3369359471"
"100065631","338202241"
"100065631","339128798"
"100065631","35825952"
"100065631","359515879"
"100065631","3670394057"
"100065631","3957916522"
"100065631","4806792322"
"100065631","555031989"
"100065631","616573748"
"100065631","705440989167685634"
"100065631","705539763349164032"
"100065631","707807954"
"100065631","71984758"
"100065631","72946936"
"100065631","732174414"
"100065631","73251704"
"100065631","733832235829202946"
"100065631","741995003879116802"
"100065631","78001994"
"100065631","7888762"
"100065631","79607415"
"100065631","94111955"
"1001390960","1379662802"
"1001390960","604416116"
"1008658832","10957732"
"1008658832","111339670"
"1008658832","1196671592"
"1008658832","119802433"
"1008658832","12677962"
"1008658832","12955672"
"1008658832","1379662802"
"1008658832","1537362068"
"1008658832","16017475"
"1008658832","163488122"
"1008658832","17449590"
"1008658832","1873322353"
"1008658832","23728821"
"1008658832","240473635"
"1008658832","2484582912"
"1008658832","2732703079"
"1008658832","2797602696"
"1008658832","3064266184"
"1008658832","359515879"
"1008658832","434228522"
"1008658832","483607754"
"1008658832","488349425"
"1008658832","488417933"
"1008658832","534563976"
"1008658832","705539763349164032"
"1008658832","7888762"
"1008658832","94111955"
"1008658832","969542076"
"1009369783","1055679372"
"1009369783","106677059"
"1009369783","112280670"
"1009369783","125901669"
"1009369783","1291016851"
"1009369783","132839879"
"1009369783","1339148192"
"1009369783","1349794693"
"1009369783","135138608"
"1009369783","145554242"
"1009369783","1553984528"
"1009369783","16569045"
"1009369783","166902496"
"1009369783","17071048"
"1009369783","181886189"
"1009369783","18252796"
"1009369783","186894716"
"1009369783","19637908"
"1009369783","2461964527"
"1009369783","3016900649"
"1009369783","3084733287"
"1009369783","31012639"
"1009369783","3194402469"
"1009369783","330398843"
"1009369783","3375927255"
"1009369783","3652196182"
"1009369783","42908377"
"1009369783","4511836156"
"1009369783","463065271"
"1009369783","48676963"
"1009369783","570665100"
"1009369783","602189400"
"1009369783","6967722"
"1009369783","715825348684988416"
"1009369783","89562376"
"1009369783","928371003474014208"
"1009369783","976267632"
"1009369783","984517692"
"1014378523","1139903348"
"1014378523","116272595"
"1014378523","125901669"
"1014378523","1349794693"
"1014378523","136733764"
"1014378523","1411105375"
"1014378523","1418540804"
"1014378523","143215943"
"1014378523","16017475"
"1014378523","16106294"
"1014378523","166902496"
"1014378523","17071048"
"1014378523","1722972990"
"1014378523","18252796"
"1014378523","186272947"
"1014378523","21101306"
"1014378523","217437553"
"1014378523","2437391226"
"1014378523","24931506"
"1014378523","2858478230"
"1014378523","289653730"
"1014378523","320376685"
"1014378523","3407705392"
"1014378523","55389946"
"1014378523","715825348684988416"
"1014378523","819992930190360576"
"1014378523","891457352"
"1014378523","902894177855442944"
"1014378523","913666282066657280"
"1014378523","928371003474014208"
"1014378523","930838495119204353"
"101710163","100065631"
"101710163","12677962"
"101710163","1612563913"
"101710163","196349045"
"101710163","219917053"
"101710163","227423290"
"101710163","23728821"
"101710163","2732703079"
"101710163","2797602696"
"101710163","28207516"
"101710163","29145061"
"101710163","3670394057"
"101710163","371167725"
"101710163","555031989"
"101710163","616573748"
"101710163","705539763349164032"
"101710163","733832235829202946"
"101710163","73981190"
"101710163","861765444"
"1025315378","100065631"
"1025315378","111339670"
"1025315378","117863115"
"1025315378","1196671592"
"1025315378","132337419"
"1025315378","1657738339"
"1025315378","17071048"
"1025315378","224765197"
"1025315378","227423290"
"1025315378","2362820203"
"1025315378","24931506"
"1025315378","2797602696"
"1025315378","28207516"
"1025315378","302613813"
"1025315378","3483015069"
"1025315378","4295872455"
"1025315378","4806792322"
"1025315378","534563976"
"1025315378","555031989"
"1025315378","73981190"
"1025315378","94111955"
"103003993","10361342"
"103003993","1048799996"
"103003993","106487238"
"103003993","1108922330"
"103003993","1165362025"
"103003993","11999982"
"103003993","123826346"
"103003993","1243408776"
"103003993","1248937615"
"103003993","132462698"
"103003993","132839879"
"103003993","1357911"
"103003993","138162857"
"103003993","13952602"
"103003993","1402691714"
"103003993","14344194"
"103003993","14831098"
"103003993","1498416180"
"103003993","157195411"
"103003993","159849348"
"103003993","16017475"
"103003993","16182746"
"103003993","17071048"
"103003993","170989310"
"103003993","171758508"
"103003993","18250336"
"103003993","187932836"
"103003993","19126074"
"103003993","1951972399"
"103003993","1961901686"
"103003993","196954440"
"103003993","1972769490"
"103003993","204145131"
"103003993","228405884"
"103003993","247348683"
"103003993","2765069358"
"103003993","285783267"
"103003993","30525569"
"103003993","3075157341"
"103003993","313299286"
"103003993","3153510825"
"103003993","3375927255"
"103003993","344873003"
"103003993","360568526"
"103003993","366661199"
"103003993","42908377"
"103003993","4512306760"
"103003993","611488789"
"103003993","634519101"
"103003993","715825348684988416"
"103003993","83708105"
"103003993","867622818"
"103003993","929910390"
"103003993","938780583886454784"
"103003993","940737743394607105"
"103003993","970894380"
"10361342","103003993"
"10361342","106487238"
"10361342","1165362025"
"10361342","11999982"
"10361342","123826346"
"10361342","138162857"
"10361342","13952602"
"10361342","14344194"
"10361342","14831098"
"10361342","1498416180"
"10361342","157195411"
"10361342","159849348"
"10361342","16569045"
"10361342","171758508"
"10361342","19126074"
"10361342","204145131"
"10361342","2765069358"
"10361342","285783267"
"10361342","313299286"
"10361342","344873003"
"10361342","4515151"
"10361342","83392573"
"10361342","83708105"
"10361342","946901479"
"104123621","10497222"
"104123621","108440425"
"104123621","123864717"
"104123621","1241223638"
"104123621","1259395213"
"104123621","1270657910"
"104123621","134037648"
"104123621","14919552"
"104123621","1632913393"
"104123621","167537240"
"104123621","17872758"
"104123621","188725330"
"104123621","204847340"
"104123621","2315356022"
"104123621","241191056"
"104123621","275453716"
"104123621","2787551460"
"104123621","310221094"
"104123621","346464416"
"104123621","611488789"
"104123621","868925767933190144"
"104123621","89472246"
"1043107927","1216490502"
"1043107927","1617603914"
"1043107927","1972769490"
"1043107927","242770970"
"1043107927","84404054"
"104850722","16017475"
"104850722","16813249"
"104850722","28207516"
"1048799996","1108922330"
"1048799996","123471479"
"1048799996","1243408776"
"1048799996","132462698"
